State,Year,0 to 11,12 to 17,Male,Female,Unknown Gender,White,Black,Amer. Indian/Alaskan Native,Asian/Nat. Hawaiian/Pac Isl,Unknown Race,Pattern
IN,2013,-0.34596717777600594,-0.1310887387764765,-0.10507669408314926,-0.632546551198449,-0.10510389060631,-0.1452640377929376,-0.0877133322500414,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,2014,-0.34596717777600594,-0.1948012852246655,-0.17212504937580989,-0.632546551198449,-0.10510389060631,-0.3417179949918,-0.006822148063892121,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,2015,-0.34596717777600594,-0.1310887387764765,-0.12742614584736947,-0.3236324023649727,-0.10510389060631,-0.420299577871345,0.19540581240148108,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,2016,-0.34596717777600594,-0.06737619232828748,-0.08272724231892904,-0.3236324023649727,-0.10510389060631,-0.18455482923271008,0.03362344402918252,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,2017,1.438597982164635,0.0175738696026312,0.029020016502172008,-0.014718253531496415,-0.10510389060631,-0.22384562067248256,0.27629699658763035,-0.3365566445941464,-0.2264911699210134,0.5785104663102237,3
KS,1980,-0.34596717777600594,-0.36470140908650284,-0.35092066348957157,-0.632546551198449,-0.10510389060631,-0.22384562067248256,-0.573060437366937,1.1442925916200979,0.27725167572547926,-0.17441905007072317,0
KS,1981,-0.34596717777600594,-0.42841395553469186,-0.4626679223106726,-0.014718253531496415,-0.10510389060631,-0.420299577871345,-0.41127806899463853,1.1442925916200979,-0.2264911699210134,-0.17441905007072317,0
KS,1982,-0.34596717777600594,-0.4071764400519622,-0.395619567018012,-0.632546551198449,-0.10510389060631,-0.22384562067248256,-0.573060437366937,1.1442925916200979,-0.2264911699210134,-0.17441905007072317,0
KS,1983,-0.34596717777600594,-0.4921265019828809,-0.5073668258391131,-0.3236324023649727,-0.10510389060631,-0.3417179949918,-0.6135060294600118,1.1442925916200979,-0.2264911699210134,-0.17441905007072317,0
KS,1984,-0.34596717777600594,-0.44965147101742153,-0.4626679223106726,-0.3236324023649727,-0.10510389060631,-0.3024272035520275,-0.573060437366937,-0.3365566445941464,0.27725167572547926,-0.17441905007072317,0
KS,1985,-0.34596717777600594,-0.3859389245692325,-0.395619567018012,-0.3236324023649727,-0.10510389060631,-0.22384562067248256,-0.4921692531807878,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
KS,1986,-0.34596717777600594,-0.42841395553469186,-0.4626679223106726,-0.3236324023649727,-0.10510389060631,-0.18455482923271008,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
KS,1987,-0.34596717777600594,-0.4071764400519622,-0.395619567018012,-0.632546551198449,-0.10510389060631,-0.18455482923271008,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,0.5785104663102237,0
KS,1989,-0.34596717777600594,-0.30098886263831387,-0.35092066348957157,0.6031100441354562,-0.10510389060631,-0.22384562067248256,-0.3303868848084892,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
KS,1990,-0.34596717777600594,-0.3434638936037732,-0.32857121172535136,-0.632546551198449,-0.10510389060631,-0.2631364121122551,-0.41127806899463853,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
KS,1991,-0.34596717777600594,-0.3434638936037732,-0.35092066348957157,-0.3236324023649727,-0.10510389060631,-0.22384562067248256,-0.41127806899463853,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
KS,1992,-0.34596717777600594,-0.36470140908650284,-0.35092066348957157,-0.632546551198449,-0.10510389060631,-0.2631364121122551,-0.41127806899463853,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
KS,2001,-0.34596717777600594,-0.42841395553469186,-0.4403184705464524,-0.3236324023649727,-0.10510389060631,-0.22384562067248256,-0.6135060294600118,-0.3365566445941464,0.27725167572547926,-0.17441905007072317,0
KS,2002,-0.34596717777600594,-0.42841395553469186,-0.4403184705464524,-0.3236324023649727,-0.10510389060631,-0.18455482923271008,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
KS,2003,-0.34596717777600594,-0.5346015329483402,-0.5297162776033333,-0.632546551198449,-0.10510389060631,-0.3810087864315725,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
KS,2004,-0.34596717777600594,-0.4921265019828809,-0.4850173740748928,-0.632546551198449,-0.10510389060631,-0.3024272035520275,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
KS,2005,1.438597982164635,-0.17356376974193582,-0.1944745011400301,0.29419589530197987,-0.10510389060631,-0.22384562067248256,-0.24949570062233994,-0.3365566445941464,1.7884802126649573,-0.17441905007072317,3
KS,2006,-0.34596717777600594,-0.36470140908650284,-0.3732701152537918,-0.3236324023649727,-0.10510389060631,-0.18455482923271008,-0.4921692531807878,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
KS,2007,-0.34596717777600594,-0.36470140908650284,-0.35092066348957157,-0.632546551198449,-0.10510389060631,-0.18455482923271008,-0.4921692531807878,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
KS,2008,-0.34596717777600594,-0.30098886263831387,-0.28387230819691095,-0.632546551198449,-0.10510389060631,-0.1452640377929376,-0.41127806899463853,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
